Gender,College,In or Out of State,Citizenship,Marital Status,Type of High School,Applied Financial Aid,Received Financial Aid,Other Scholarships,Tuition Rate,Expected 4 Year Revenue,Open Houses,Visits,High School GPA,AP Tests Passed,Acceptance Type,Recruited Athlete,High School Class Size,HS Class Rank,Student Health,Total Class Hours,Overall GPA,Change in GPA,Housing,Club Memberships,Infirmary Visits,City,State,Retention
Female,Liberal Arts & Sciences,Out of State,Yes,Single,Private,Yes,Yes,No,1975,237000,0,0,2.833377018,0,Wait Listed,No,200-300,3rd Quartile,Good,26,3.615,Negative,On Campus,2,0,"Huntsville, AL",Alabama,Retained
Male,Health Sciences,Out of State,Yes,Single,Public,Yes,No,No,1975,237000,0,0,3.269137515,0,Standard,No,400-500,1st Quartile,Good,31,2.807741935,Positive,On Campus,3,0,"Birmingham, AL",Alabama,Retained
Male,Engineering,Out of State,Yes,Married,Private,Yes,Yes,Yes,1975,237000,0,0,3.477564047,1,Standard,No,400-500,1st Quartile,Good,27,3.473333333,Negative,Off Campus,0,0,"Birmingham, AL",Alabama,Retained
Male,Business,Out of State,Yes,Single,Public,No,No,No,1975,237000,0,0,3.778985171,0,Standard,No,300-400,1st Quartile,Good,31,3.466774194,Positive,On Campus,0,0,"Birmingham, AL",Alabama,Retained
Male,Communications,Out of State,Yes,Single,Private,Yes,Yes,No,1975,237000,0,0,3.303028939,0,Standard,No,400-500,1st Quartile,Good,31,3.089677419,Positive,On Campus,2,0,"Birmingham, AL",Alabama,Retained
Female,Health Sciences,Out of State,Yes,Single,Public,Yes,Yes,No,1975,237000,0,0,3.212011986,0,Standard,No,500+,1st Quartile,Good,30,3.305,Positive,Fraternity/Sorority House,2,0,"Mobile, AL",Alabama,Retained
Male,Liberal Arts & Sciences,Out of State,Yes,Single,Public,No,No,No,1975,237000,0,0,3.54195189,0,Standard,No,< 100,1st Quartile,Good,29,3.01137931,Positive,On Campus,0,0,"Birmingham, AL",Alabama,Retained
Female,Health Sciences,Out of State,Yes,Single,Private,No,No,No,1975,237000,0,0,3.576255409,0,Standard,No,400-500,1st Quartile,Good,30,3.234333333,Positive,On Campus,0,0,"Huntsville, AL",Alabama,Retained
Male,Health Sciences,Out of State,Yes,Single,Public,Yes,Yes,No,1975,237000,0,0,3.585783013,0,Standard,No,400-500,1st Quartile,Good,28,3.072857143,Positive,On Campus,2,0,"Birmingham, AL",Alabama,Retained
Female,Communications,Out of State,Yes,Single,Public,No,No,No,1975,237000,0,0,3.228796061,0,Standard,No,400-500,1st Quartile,Good,31,3.086451613,Positive,On Campus,1,0,"Mobile, AL",Alabama,Retained
Female,Engineering,Out of State,Yes,Married,Public,Yes,Yes,No,1975,237000,0,0,3.462701751,1,Standard,No,200-300,1st Quartile,Poor,30,3.075,Positive,Off Campus,2,0,"Huntsville, AL",Alabama,Retained
Female,Business,Out of State,Yes,Single,Private,Yes,No,No,1975,237000,0,0,3.574618851,0,Standard,No,400-500,1st Quartile,Good,30,3.52,Positive,On Campus,0,0,"Birmingham, AL",Alabama,Retained
Female,Communications,Out of State,Yes,Married,Private,No,No,No,1975,237000,0,0,3.246611746,0,Standard,No,500+,1st Quartile,Good,32,3.3853125,Positive,Off Campus,0,0,"Montgomery, AL",Alabama,Retained
Female,Liberal Arts & Sciences,Out of State,Yes,Single,Private,Yes,Yes,Yes,1975,237000,0,0,3.326178581,0,Early,No,500+,1st Quartile,Good,30,2.765,Negative,Off Campus,2,0,"Birmingham, AL",Alabama,Retained
Female,Education,Out of State,Yes,Single,Public,Yes,Yes,No,1975,237000,0,0,3.32990634,0,Early,No,500+,1st Quartile,Good,30,3.145,Positive,On Campus,0,0,"Montgomery, AL",Alabama,Retained
